DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2002-11-16 18:00:00,166.494,52.693,210.533,124.593,1333.26,403.263,102.723,208.342,87.048,154.35,290.862,98.537,157.18,191.612,170.196,192.582,193.258,110.166,45.602,261.74
2002-11-16 18:05:00,167.908,52.267,210.6,124.593,1334.02,407.453,,204.496,88.418,153.96,289.927,97.571,155.2,194.97,170.542,193.146,196.116,110.422,45.624,261.808
2002-11-16 18:10:00,167.94,51.663,209.533,122.093,1336.78,403.607,,207.822,87.822,155.526,289.495,95.728,156.76,192.39,171.592,192.594,193.404,111.406,45.528,261.786
2002-11-16 18:15:00,167.514,50.95,210.7,126.233,1333.58,404.037,101.773,207.15,87.78,156.367,290.352,96.666,156.92,193.994,172.746,194.998,192.616,110.526,46.456,261.266
2002-11-16 18:20:00,166.7,51.483,212.167,124.803,1341.48,403.087,,210.23,89.126,156.007,292.165,95.528,156.0,193.436,172.038,193.116,192.944,111.31,46.48,262.364
2002-11-16 18:25:00,166.398,51.86,207.033,122.447,1340.48,406.18,,209.844,87.448,155.04,293.087,97.522,157.3,191.638,171.396,195.094,192.806,111.5,46.038,262.618
2002-11-16 18:30:00,168.802,51.74,210.5,123.847,1334.72,401.473,102.913,209.27,87.71,154.547,292.089,96.123,157.3,193.132,172.28,194.922,193.276,110.642,45.482,261.166
2002-11-16 18:35:00,169.134,50.467,209.033,123.567,1334.2,402.093,,208.292,87.81,155.55,289.559,96.285,155.72,192.122,172.702,194.294,193.7,110.418,46.1,261.872
2002-11-16 18:40:00,167.144,49.597,210.1,123.297,1331.48,403.533,,207.776,87.85,154.293,290.725,97.204,158.78,192.496,171.072,192.75,190.206,108.968,45.782,263.53
2002-11-16 18:45:00,166.65,49.873,208.833,123.833,1337.16,400.703,101.789,207.664,90.042,154.43,292.139,97.543,155.34,192.738,173.668,195.334,191.038,111.322,46.56,261.23
2002-11-16 18:50:00,167.136,51.61,208.267,124.52,1339.78,402.743,,209.716,89.016,156.537,289.638,96.373,157.06,190.432,174.916,194.156,193.876,110.322,45.438,262.102
2002-11-16 18:55:00,166.892,51.71,210.633,125.31,1336.56,402.574,,210.046,88.358,155.43,291.162,96.371,155.58,192.654,171.956,196.532,195.052,110.276,45.804,261.658
2002-11-16 19:00:00,167.46,52.053,208.133,123.13,1334.42,404.527,103.003,208.154,89.89,155.357,292.341,96.623,156.3,191.702,170.63,192.9,191.65,110.264,46.072,260.908
2002-11-16 19:05:00,167.456,52.72,208.233,123.073,1336.96,404.997,,206.698,89.086,156.24,288.301,95.802,158.06,194.26,172.684,192.934,192.268,110.78,45.872,263.29
2002-11-16 19:10:00,165.466,52.413,210.467,124.073,1337.0,404.7,,208.188,88.288,155.65,288.907,96.438,158.46,192.328,170.384,194.21,191.766,110.588,45.246,262.972
2002-11-16 19:15:00,166.106,51.727,210.533,123.827,1337.4,402.253,102.406,209.264,88.638,155.393,291.867,96.667,157.56,191.992,171.404,193.07,194.076,110.894,45.986,262.396
2002-11-16 19:20:00,167.522,50.313,208.533,122.287,1337.44,403.393,,206.06,88.192,154.98,291.188,96.711,158.06,193.168,170.1,192.5,193.11,110.938,45.076,261.766
2002-11-16 19:25:00,167.15,50.087,209.2,124.833,1336.1,401.397,,209.154,88.8,156.16,291.039,95.445,157.64,189.78,171.524,193.006,193.756,110.72,45.816,262.246
2002-11-16 19:30:00,166.644,52.523,207.833,124.08,1332.04,403.35,102.043,209.386,88.526,155.087,292.563,98.685,156.86,190.726,171.52,194.698,190.856,112.092,45.56,261.316
2002-11-16 19:35:00,166.138,52.43,206.9,122.397,1332.9,402.95,,209.272,88.558,154.853,294.21,97.252,156.16,192.506,171.226,193.782,194.51,111.32,45.596,266.368
2002-11-16 19:40:00,167.426,52.283,207.533,124.527,1328.06,402.52,,209.312,89.392,156.08,291.373,96.36,156.4,191.488,172.118,193.648,194.08,110.664,45.9,262.548
2002-11-16 19:45:00,168.172,51.32,210.333,123.447,1336.6,402.36,102.305,210.3,89.5,154.437,293.351,98.018,157.76,191.694,171.226,192.13,194.488,109.88,45.444,262.648
2002-11-16 19:50:00,165.474,50.92,209.667,125.23,1337.46,397.254,,205.96,88.112,154.726,291.095,97.412,157.82,192.376,170.892,196.334,192.77,111.148,45.94,263.464
2002-11-16 19:55:00,169.078,51.383,209.2,123.21,1333.22,400.643,,207.382,89.484,156.64,292.865,96.723,159.88,193.908,171.2,194.542,194.52,111.316,45.614,264.24
2002-11-16 20:00:00,166.926,51.79,209.733,123.643,1330.56,401.633,102.403,206.644,88.486,154.807,293.574,98.493,155.4,193.856,170.03,192.23,194.466,110.572,46.196,261.906
2002-11-16 20:05:00,165.814,52.103,210.033,124.607,1333.14,401.293,,208.908,88.954,154.377,292.528,96.5,157.26,190.65,171.724,192.79,198.412,111.574,46.236,264.01
2002-11-16 20:10:00,170.348,52.17,210.1,122.163,1335.32,403.217,,207.874,88.708,154.453,291.484,97.758,157.18,191.07,171.906,191.9,194.356,110.874,45.692,260.918
2002-11-16 20:15:00,166.362,50.05,210.533,122.953,1332.94,398.39,102.047,210.378,88.064,156.22,293.333,97.266,156.22,192.706,171.514,195.0,194.422,110.506,45.204,263.456
2002-11-16 20:20:00,165.624,48.883,208.4,125.007,1337.24,403.157,,208.988,88.498,155.036,292.903,97.04,158.1,192.026,170.056,195.174,191.73,112.108,46.052,262.614
2002-11-16 20:25:00,168.19,49.72,209.6,123.477,1331.44,401.65,,210.986,89.42,156.04,288.482,97.44,158.7,192.802,171.75,194.314,194.46,109.414,46.01,263.14
2002-11-16 20:30:00,167.01,51.03,210.1,123.88,1333.92,399.603,102.591,208.736,88.388,153.213,289.842,97.802,156.72,193.36,172.566,194.7,194.442,110.918,46.446,262.53
2002-11-16 20:35:00,167.236,52.04,208.767,124.803,1327.76,399.347,,209.708,89.736,152.557,291.651,97.432,156.62,192.082,171.434,192.15,192.64,112.576,46.316,261.542
2002-11-16 20:40:00,166.354,51.813,209.833,122.707,1335.74,402.953,,208.968,89.656,154.18,293.304,97.757,156.84,191.482,172.728,195.172,195.048,111.436,45.92,261.002
2002-11-16 20:45:00,166.652,52.033,207.8,124.947,1339.4,402.614,101.98,209.542,88.472,154.09,290.547,96.535,157.26,194.726,173.056,193.194,192.676,110.908,45.812,260.726
2002-11-16 20:50:00,169.056,52.727,210.5,123.433,1334.1,402.333,,209.676,88.59,156.983,290.762,98.114,157.84,193.3,173.102,193.12,193.828,111.182,46.208,262.46
2002-11-16 20:55:00,170.734,51.937,207.933,123.903,1333.6,402.253,,209.738,88.468,156.223,291.377,98.187,157.7,193.018,171.754,195.066,194.172,110.848,45.298,263.294
2002-11-16 21:00:00,168.664,50.43,208.5,124.51,1338.6,403.023,101.684,207.668,88.646,154.437,294.037,96.631,157.52,192.06,172.852,191.924,193.446,110.17,46.072,261.584
2002-11-16 21:05:00,169.83,49.07,210.633,123.657,1337.14,401.583,,209.24,89.528,153.92,291.168,95.339,156.84,192.484,171.912,193.338,192.88,110.842,45.62,264.568
2002-11-16 21:10:00,167.606,49.87,210.333,124.49,1332.24,397.903,,208.512,88.688,153.4,292.633,96.154,157.94,193.168,174.254,190.966,193.062,111.194,46.218,262.578
2002-11-16 21:15:00,167.09,52.73,208.867,125.267,1333.88,403.02,102.018,208.588,88.362,155.14,293.576,97.247,156.84,191.756,172.006,193.1,193.608,111.644,45.402,262.954
2002-11-16 21:20:00,170.42,52.847,209.1,123.547,1339.48,405.347,,209.188,87.036,152.677,291.718,97.664,157.26,192.424,172.744,194.34,193.708,111.046,45.214,262.968
2002-11-16 21:25:00,168.9,51.317,210.633,122.94,1333.82,401.05,,207.124,86.294,155.387,289.53,98.033,155.62,192.108,172.806,194.124,195.176,111.562,45.322,262.088
2002-11-16 21:30:00,167.982,51.103,208.733,123.257,1338.62,398.903,101.853,209.764,88.102,156.49,291.84,98.087,157.62,191.414,170.816,193.888,194.054,111.648,45.982,260.24
2002-11-16 21:35:00,168.746,51.827,209.133,122.797,1337.54,402.21,,209.412,87.788,154.5,292.478,97.444,156.04,193.37,173.866,194.352,194.414,111.646,45.908,264.302
2002-11-16 21:40:00,166.236,52.423,210.5,123.25,1331.04,395.837,,207.706,88.234,153.884,293.239,97.251,156.9,194.128,172.986,192.364,193.718,110.938,45.164,259.678
2002-11-16 21:45:00,166.308,51.2,206.967,122.293,1335.72,399.93,103.11,205.73,88.54,153.933,292.235,96.067,156.56,191.806,172.158,193.982,196.43,109.938,44.71,260.528
2002-11-16 21:50:00,166.842,49.393,209.6,123.14,1340.16,400.01,,209.956,89.128,154.603,293.971,96.976,158.0,189.652,172.938,194.854,193.596,110.26,46.254,262.882
2002-11-16 21:55:00,168.808,49.7,207.867,122.01,1329.52,403.73,,208.136,88.982,154.593,292.051,96.718,156.3,191.962,170.99,194.486,191.362,110.48,45.138,261.366
2002-11-16 22:00:00,166.99,50.857,210.4,123.59,1332.0,403.06,102.169,207.984,89.146,154.537,292.022,97.05,158.64,194.17,172.618,193.29,193.904,110.892,45.612,261.03
2002-11-16 22:05:00,167.304,52.027,208.267,123.883,1335.44,401.75,,209.736,88.742,154.607,293.694,96.738,155.06,193.252,172.052,194.932,194.484,109.984,45.902,261.268
2002-11-16 22:10:00,167.894,51.867,211.0,124.33,1331.5,401.77,,210.988,87.33,155.64,291.991,97.426,155.28,194.134,171.316,193.75,194.494,111.06,45.568,261.45
2002-11-16 22:15:00,163.518,51.833,209.267,123.16,1339.94,402.373,101.422,207.162,88.088,153.504,291.048,96.768,156.76,193.264,173.318,191.906,193.562,110.536,46.44,261.63
2002-11-16 22:20:00,166.964,52.333,212.533,125.133,1328.86,401.643,,210.3,88.81,156.473,293.058,96.983,156.78,192.566,173.87,194.452,191.206,111.492,45.89,263.186
2002-11-16 22:25:00,165.752,51.81,212.9,123.29,1330.92,401.59,,207.41,86.774,153.757,292.053,96.828,158.06,190.064,172.69,193.782,192.586,112.178,46.28,261.98
2002-11-16 22:30:00,167.096,50.27,210.167,123.817,1336.26,404.133,101.825,206.72,88.046,154.933,291.9,97.263,158.06,193.652,173.86,191.782,194.222,110.75,45.97,264.43
2002-11-16 22:35:00,167.26,50.113,209.1,125.68,1330.22,403.453,,212.122,88.99,155.96,292.266,96.884,157.68,193.12,173.714,191.91,194.124,111.334,45.65,263.136
2002-11-16 22:40:00,166.11,52.973,210.0,123.803,1332.2,403.043,,208.726,87.466,157.913,293.608,95.341,155.54,192.672,171.23,190.86,195.144,111.558,45.632,262.336
2002-11-16 22:45:00,169.222,52.457,207.333,122.683,1334.88,398.083,101.928,206.556,88.994,154.68,291.564,98.015,156.78,192.724,171.664,193.632,193.672,111.256,45.674,263.27
2002-11-16 22:50:00,166.296,51.983,207.067,123.87,1331.58,396.977,,207.462,89.028,155.963,292.54,96.846,156.98,192.582,169.714,193.552,192.378,111.048,45.734,263.458
2002-11-16 22:55:00,168.334,51.167,207.867,123.793,1335.34,404.257,,206.718,88.362,157.09,291.104,97.996,155.94,195.06,173.084,195.312,193.628,111.124,45.546,263.616
2002-11-16 23:00:00,168.306,51.547,209.433,124.217,1331.88,399.557,102.35,205.714,88.266,157.413,293.916,97.26,157.74,192.012,170.64,193.578,193.884,110.746,45.704,262.502
2002-11-16 23:05:00,168.892,51.67,211.933,122.21,1336.54,401.857,,209.174,89.68,154.976,293.884,97.096,157.1,192.254,171.342,192.674,193.806,111.0,45.366,263.76
2002-11-16 23:10:00,165.65,51.803,210.6,123.173,1339.64,400.817,,210.8,89.102,154.84,295.109,97.157,156.62,193.542,172.192,192.838,193.558,110.602,45.524,263.214
