DATETIME,DJON,ATHN,MXCO,ARNM,NANM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK3,IRKT,MCRL,MOSC,NEWK,KIEL,KIEL2,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,TERA
2012-03-08 07:45:00,140.279,55.52,221.167,542.5,781.095,149.044,1384.52,100.902,153.212,356.752,440.617,412.2,203.6,50.026,239.376,93.552,165.413,172.212,208.533,220.69,102.206,167.012,122.6,95.813,205.25,186.332,205.394,205.804,116.056,141.43,290.856,113.981
2012-03-08 07:50:00,140.695,56.39,221.0,542.443,772.727,149.853,1385.66,102.272,154.316,356.472,440.329,414.0,205.6,49.416,244.092,92.58,162.747,168.54,208.347,216.532,102.274,166.256,124.8,94.48,205.658,188.256,206.306,207.346,117.546,142.482,289.766,113.466
2012-03-08 07:55:00,141.488,56.543,218.767,544.519,769.389,148.977,1380.16,102.282,152.869,357.214,440.734,414.4,203.6,47.678,239.502,92.334,164.523,171.332,210.507,220.298,101.831,166.976,124.4,96.88,205.662,186.85,205.384,207.746,117.228,141.83,287.72,112.064
2012-03-08 08:00:00,140.947,54.943,219.267,548.98,776.846,150.12,1387.46,101.636,153.855,360.093,442.362,409.8,202.6,49.272,244.144,92.148,165.197,171.876,206.933,219.071,102.519,167.858,125.0,96.693,204.8,186.626,206.562,207.808,117.56,142.788,288.424,112.293
2012-03-08 08:05:00,140.257,55.217,219.433,546.333,775.171,152.364,1392.5,100.374,153.47,361.402,445.422,413.2,205.8,49.072,241.418,93.526,165.407,171.784,206.693,219.788,103.097,169.7,122.2,97.413,204.86,186.746,205.588,207.664,116.23,141.752,285.894,110.56
2012-03-08 08:10:00,138.966,55.837,217.166,546.863,771.439,149.197,1393.12,101.658,155.309,356.876,444.414,409.4,208.8,48.803,243.946,91.66,165.063,171.516,206.853,218.528,103.374,168.55,122.8,97.52,205.1,186.464,207.326,206.32,115.912,140.426,286.668,111.375
2012-03-08 08:15:00,141.57,55.417,218.8,543.262,773.186,149.09,1385.24,102.1,153.574,355.787,440.276,410.4,206.2,48.886,240.724,93.804,165.567,171.078,207.84,216.72,103.605,167.86,126.6,97.867,206.396,187.992,206.304,207.964,116.936,142.688,287.798,112.774
2012-03-08 08:20:00,139.215,55.123,217.367,548.589,781.305,149.687,1392.48,103.32,153.148,357.225,440.817,414.8,205.4,50.018,240.866,91.554,166.383,172.328,208.693,219.028,102.12,167.602,121.2,97.413,206.426,186.386,206.904,208.812,116.756,139.872,287.24,114.014
2012-03-08 08:25:00,138.178,54.987,219.533,547.42,772.764,149.583,1393.18,100.714,154.403,355.168,440.396,413.6,207.2,48.9,239.746,93.084,164.687,172.538,206.187,217.532,101.895,168.34,123.6,97.467,205.502,184.574,204.022,208.578,116.942,141.852,288.478,112.891
2012-03-08 08:30:00,143.432,54.817,217.467,547.643,773.244,150.653,1397.2,102.614,153.799,358.732,442.314,415.8,206.8,48.744,244.086,93.18,165.603,172.172,208.427,219.185,101.399,167.786,125.4,96.64,202.406,185.496,205.502,206.608,116.216,140.584,286.484,111.766
2012-03-08 08:35:00,140.002,55.313,218.333,547.962,769.346,150.837,1396.94,100.948,155.017,360.961,439.74,413.2,205.2,48.394,240.088,90.81,164.83,171.754,206.747,218.579,103.657,168.28,122.2,96.107,206.11,184.876,206.056,207.364,117.146,140.032,284.73,111.481
2012-03-08 08:40:00,140.582,56.727,219.267,548.218,781.619,151.104,1387.86,102.606,153.483,357.314,440.465,412.8,206.4,49.422,241.468,92.582,163.237,169.702,207.413,216.679,102.732,166.268,123.4,97.333,205.808,184.292,204.886,208.388,116.588,140.614,286.878,111.267
2012-03-08 08:45:00,139.712,57.393,219.6,550.976,773.517,148.913,1385.16,103.394,152.925,359.785,440.107,411.0,204.6,48.71,240.754,91.628,164.56,169.804,208.08,216.403,104.324,167.694,123.2,97.653,204.298,183.334,204.492,205.952,117.198,139.346,285.752,113.09
2012-03-08 08:50:00,140.238,55.147,217.5,545.0,775.991,151.067,1392.32,102.28,153.55,355.34,442.248,415.4,206.4,50.188,244.692,91.334,163.37,169.152,210.08,218.202,102.929,166.926,124.2,97.92,203.622,184.692,207.974,207.098,118.28,139.52,286.236,111.17
2012-03-08 08:55:00,141.115,56.07,219.4,551.298,779.785,149.233,1389.78,101.42,154.388,359.385,438.42,413.4,208.4,48.938,241.492,91.7,166.52,172.464,209.627,220.825,103.157,166.85,124.2,95.84,207.018,183.768,202.478,203.492,116.89,140.214,284.328,111.61
2012-03-08 09:00:00,139.563,54.29,220.133,549.465,775.038,150.417,1385.12,102.93,152.6,358.471,440.03,417.2,206.6,49.978,239.526,91.454,163.593,170.078,206.613,219.3,104.161,168.034,124.0,96.587,206.06,185.582,206.368,211.59,117.384,139.772,282.94,111.421
2012-03-08 09:05:00,140.079,56.67,219.267,549.286,773.603,151.486,1390.76,101.302,155.212,358.158,445.11,415.4,204.8,48.605,242.798,91.156,165.757,171.524,207.573,220.757,103.178,170.06,123.4,96.453,202.022,184.504,204.834,204.25,116.088,139.078,283.876,112.094
2012-03-08 09:10:00,139.585,57.113,222.2,547.758,782.237,149.333,1386.88,101.252,152.797,354.441,441.604,412.6,208.0,49.535,242.254,91.694,165.36,171.844,210.453,220.053,104.041,169.438,123.2,96.48,205.508,183.672,203.856,209.994,115.846,139.988,283.966,112.232
2012-03-08 09:15:00,137.155,56.31,217.167,547.319,782.561,149.73,1386.56,101.618,155.593,357.877,440.196,415.8,205.8,48.058,237.724,91.392,163.447,169.562,208.453,219.563,102.635,170.26,122.2,96.667,203.788,185.488,205.826,207.426,116.58,138.834,283.618,111.942
2012-03-08 09:20:00,141.196,55.733,217.3,549.013,776.582,150.827,1395.22,102.834,152.574,357.199,439.915,414.0,204.6,48.528,241.622,92.322,163.727,170.958,208.507,217.369,104.771,169.348,122.6,98.027,206.358,186.152,203.444,207.028,116.958,138.796,280.904,112.57
2012-03-08 09:25:00,141.889,55.687,219.3,548.286,779.377,151.027,1381.04,103.454,153.104,355.436,441.04,413.2,207.2,48.675,240.04,90.314,165.97,172.106,208.693,218.207,105.35,169.106,121.6,97.173,205.208,185.73,203.216,206.856,117.424,138.492,283.396,112.424
2012-03-08 09:30:00,138.383,57.527,219.367,544.19,777.806,152.31,1386.56,102.318,155.164,355.276,442.008,415.2,208.6,49.588,243.698,91.712,165.797,171.708,210.213,218.005,104.737,170.206,125.4,96.613,206.988,185.838,201.318,207.944,117.332,138.312,282.408,110.516
2012-03-08 09:35:00,142.091,55.383,219.9,547.657,778.373,149.19,1389.16,102.904,151.238,354.23,441.879,411.6,206.2,49.517,242.754,89.39,166.7,172.25,209.147,218.851,103.395,167.258,122.4,96.88,206.77,185.708,204.638,205.988,118.694,137.696,279.798,110.653
2012-03-08 09:40:00,141.017,56.467,219.267,550.915,784.184,150.647,1389.78,102.324,154.428,356.993,439.352,412.8,208.0,49.06,244.256,90.816,163.103,170.79,209.547,213.617,102.909,169.936,124.2,96.16,207.49,186.054,204.666,206.27,117.6,138.33,281.692,111.59
2012-03-08 09:45:00,140.919,55.1,220.267,550.178,773.52,151.26,1390.1,103.146,154.567,356.824,441.662,414.4,202.6,49.062,241.068,91.138,163.6,169.904,208.16,219.223,103.116,168.294,124.8,96.373,205.742,187.494,202.94,209.008,117.44,137.902,281.404,113.783
2012-03-08 09:50:00,139.881,56.387,219.767,547.518,784.746,151.217,1385.92,102.596,154.322,357.81,440.393,411.8,205.0,49.084,240.472,91.172,163.267,169.282,210.667,217.626,104.421,170.014,123.2,96.213,202.938,185.48,205.72,205.612,117.638,138.256,284.566,113.381
2012-03-08 09:55:00,143.023,54.717,219.967,543.751,790.812,150.247,1386.72,101.302,153.482,357.196,441.018,410.4,204.8,49.408,242.714,90.368,163.78,171.27,209.733,219.494,103.474,167.818,124.6,96.4,204.708,185.914,203.0,209.01,117.584,139.548,281.73,111.749
2012-03-08 10:00:00,140.706,56.4,218.667,549.161,781.618,148.9,1371.08,103.314,154.271,359.746,442.33,411.8,207.0,50.0,242.956,90.638,165.677,171.936,208.693,220.267,104.081,169.534,124.4,95.173,207.396,184.556,207.068,206.682,116.43,139.132,281.354,113.166
2012-03-08 10:05:00,139.995,57.87,219.7,548.996,781.816,151.007,1377.52,102.562,152.697,358.934,441.029,412.4,205.8,49.876,241.262,88.496,166.433,173.3,206.8,220.223,105.23,168.728,126.4,95.653,206.15,185.508,206.02,204.406,116.684,138.52,280.83,111.438
2012-03-08 10:10:00,140.469,55.887,221.8,549.82,777.936,150.103,1385.68,101.576,152.671,359.37,440.691,414.6,209.6,49.256,237.908,91.724,167.683,174.14,210.4,220.511,104.425,169.736,123.4,97.333,205.754,187.14,205.504,203.984,117.828,137.01,281.88,113.281
