DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,NAIN,PWNK,SOPB,SOPO
2001-04-08 08:55:00,165.892,50.337,209.133,123.873,1298.58,403.96,102.38022062499998,204.338,87.872,152.847,287.608,94.934,155.94,188.81,190.952,191.15,44.152,255.604
2001-04-08 09:00:00,165.534,50.747,206.833,124.113,1312.06,401.013,102.109,202.93,88.276,153.727,284.736,96.906,154.46,190.242,187.758,190.648,43.614,254.68
2001-04-08 09:05:00,165.802,52.587,211.867,124.017,1307.1,401.84,102.32027958333325,205.674,86.924,152.903,285.891,95.286,155.8,190.09,193.384,192.344,43.434,255.352
2001-04-08 09:10:00,164.09,51.17,209.633,123.313,1310.0,404.09,102.41733416666662,205.574,86.972,152.923,287.691,94.911,154.68,190.208,190.518,190.518,44.226,254.19
2001-04-08 09:15:00,166.806,51.097,211.4,125.66,1307.48,402.187,102.422,204.326,87.556,154.333,286.116,95.528,156.84,190.482,195.74,192.172,44.03,257.314
2001-04-08 09:20:00,164.404,51.133,211.933,123.647,1313.9,399.07,102.37596645833337,206.774,89.202,152.94,286.952,95.607,154.96,192.782,194.454,191.786,43.844,257.742
2001-04-08 09:25:00,166.472,50.163,207.967,122.193,1307.8,400.81,102.27367125000006,205.382,87.404,154.813,286.196,95.481,156.26,191.326,190.446,193.154,43.25,254.886
2001-04-08 09:30:00,165.97,50.513,209.8,123.11,1308.84,402.23,102.114,201.88,87.75,152.777,287.624,96.4,153.92,191.984,196.156,191.934,44.064,255.898
2001-04-08 09:35:00,165.096,51.697,210.433,123.617,1303.86,403.007,102.39660083333334,205.862,88.23,151.653,286.565,95.75,155.14,193.082,191.682,193.38,43.206,256.976
2001-04-08 09:40:00,164.518,52.48,208.633,125.287,1309.94,399.243,102.12184458333336,204.578,87.25,153.45,287.247,96.633,155.04,193.404,193.742,192.426,43.742,257.328
2001-04-08 09:45:00,165.144,51.307,210.167,124.943,1313.28,399.483,101.901,207.356,87.076,155.47,286.754,95.804,156.24,194.266,191.144,193.806,43.978,257.216
2001-04-08 09:50:00,164.93,52.403,209.7,125.303,1307.7,404.847,102.5802125,207.216,88.612,155.017,288.143,95.338,156.4,194.992,188.75,194.772,43.892,255.094
2001-04-08 09:55:00,163.898,51.073,207.033,125.443,1304.94,401.447,102.30221250000002,207.752,86.102,154.097,287.92,97.773,155.64,194.048,191.278,194.134,43.592,254.616
2001-04-08 10:00:00,167.062,52.153,209.933,122.643,1307.74,400.03,102.582,205.816,88.436,154.62,288.24,95.852,157.38,193.538,192.512,194.578,44.48,253.194
2001-04-08 10:05:00,165.324,51.21,208.933,123.85,1304.34,399.333,102.14366833333328,204.662,86.536,155.007,288.308,96.109,157.08,193.716,190.1,194.304,43.786,257.984
2001-04-08 10:10:00,165.602,52.327,211.1,123.943,1308.54,400.59,102.40004041666663,205.948,87.204,155.17,286.707,97.761,156.44,194.688,189.992,194.592,44.388,256.928
2001-04-08 10:15:00,164.618,51.537,207.667,122.513,1302.8,400.677,102.403,206.744,87.542,152.263,286.194,93.742,155.82,192.302,189.032,193.48,44.23,254.206
2001-04-08 10:20:00,165.484,52.18,209.067,124.203,1305.04,396.623,102.21698791666664,204.286,88.04,154.677,288.423,96.87,154.8,193.856,190.672,191.038,44.012,254.21
2001-04-08 10:25:00,165.038,50.713,210.2,122.053,1311.72,400.267,102.29827374999995,204.46,88.036,153.16,286.276,96.285,154.18,192.64,191.234,192.638,44.058,253.762
2001-04-08 10:30:00,167.06,50.297,207.733,122.423,1306.8,398.307,102.214,204.458,87.554,152.27,289.159,94.971,156.08,191.726,190.148,194.846,43.512,254.874
2001-04-08 10:35:00,165.154,50.76,208.3,123.24,1313.76,404.777,102.68469500000003,204.846,88.004,154.57,289.935,95.877,155.38,193.0,187.216,191.852,43.56,253.48
2001-04-08 10:40:00,165.134,50.633,207.833,122.48,1311.96,396.867,102.20486791666671,204.098,88.468,153.193,286.983,96.012,155.74,193.84,192.272,192.742,43.738,254.426
2001-04-08 10:45:00,163.648,51.17,208.333,123.607,1307.94,397.747,102.634,204.32,86.476,152.823,288.445,97.083,157.24,192.73,187.27,194.954,43.976,255.344
2001-04-08 10:50:00,166.118,51.813,208.467,124.663,1315.62,400.933,102.44557958333337,203.454,88.426,153.59,289.377,96.985,155.0,193.532,192.634,192.482,43.856,254.616
2001-04-08 10:55:00,164.894,50.13,209.667,121.62,1311.1,398.78,102.12208833333335,200.972,88.174,153.997,287.014,94.528,156.7,191.406,193.08,195.276,44.184,254.972
2001-04-08 11:00:00,164.022,51.85,208.2,122.087,1306.64,398.44,102.1,202.306,86.286,154.32,288.761,97.565,155.26,193.412,193.374,193.304,44.028,257.03
2001-04-08 11:05:00,163.744,51.513,209.2,123.96,1317.64,393.87,102.21164666666665,204.108,87.878,153.96,290.045,95.438,155.78,190.69,193.788,192.004,44.862,256.804
2001-04-08 11:10:00,164.712,51.523,208.9,123.537,1299.08,395.79,101.99359645833333,202.116,87.154,152.816,287.686,95.744,156.56,191.222,191.154,190.932,43.824,257.656
2001-04-08 11:15:00,164.844,50.58,205.3,125.39,1309.22,396.167,101.977,200.824,88.062,154.387,288.185,95.157,155.92,192.898,190.236,194.876,43.828,255.988
2001-04-08 11:20:00,164.412,49.52,206.633,123.487,1302.4,395.4,101.96469791666662,200.876,87.104,151.997,287.255,95.809,156.8,191.54,193.374,193.274,43.774,255.342
2001-04-08 11:25:00,164.628,50.173,209.1,122.277,1308.56,395.707,102.0843983333333,201.996,86.948,154.84,287.191,94.956,157.32,191.756,192.572,191.88,44.254,252.456
2001-04-08 11:30:00,164.276,50.867,207.8,122.747,1305.12,397.797,102.203,199.742,87.152,155.927,288.492,95.431,156.94,191.906,193.43,192.692,43.864,254.984
2001-04-08 11:35:00,165.702,50.963,207.4,123.627,1301.7,394.223,101.77561937499992,207.43,87.478,153.687,290.052,95.236,154.88,192.456,193.704,193.954,43.926,254.502
2001-04-08 11:40:00,166.18,50.033,208.367,122.3,1306.36,397.427,102.12010062499992,202.08,87.078,154.593,291.4,96.135,156.3,191.478,192.864,195.27,44.034,255.202
2001-04-08 11:45:00,162.498,51.3,209.733,123.63,1308.38,399.914,101.257,203.656,87.76,153.39,289.413,96.917,157.64,192.844,191.624,194.684,44.19,255.51
2001-04-08 11:50:00,164.28,50.447,207.3,122.08,1298.6,396.897,101.95637812500001,204.362,87.326,153.597,291.878,95.151,156.74,192.144,195.258,192.8,43.898,254.144
2001-04-08 11:55:00,163.944,50.443,206.867,122.91,1309.26,397.71,102.13056249999995,204.246,86.394,154.477,291.285,95.701,155.16,193.572,191.17,196.322,43.972,254.798
