DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,KERG,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2001-10-21 14:30:00,173.054,51.617,212.0,126.203,1376.82,410.92,105.623,212.53,90.008,155.827,,291.559,97.499,159.28,200.788,176.366,199.582,198.773,112.346,46.434,267.136
2001-10-21 14:35:00,171.45,51.907,213.1,127.95,1373.58,409.023,,212.9,89.796,158.57,,292.739,99.611,158.4,197.476,176.336,198.524,200.05,111.396,46.678,267.3
2001-10-21 14:40:00,170.956,53.287,216.167,128.793,1373.96,410.703,,213.338,89.316,158.773,,290.548,97.365,156.96,199.492,176.902,199.638,199.553,111.974,45.282,269.33
2001-10-21 14:45:00,170.838,53.077,213.4,127.403,1382.86,415.08,106.077,214.08,89.212,158.997,,292.402,98.974,157.86,201.514,176.136,198.128,197.838,112.068,45.76,271.556
2001-10-21 14:50:00,171.26,53.073,214.333,126.11,1372.8,413.557,,213.002,90.848,158.103,,293.738,97.479,159.16,198.096,176.742,199.182,197.332,112.692,46.208,268.534
2001-10-21 14:55:00,173.326,53.313,212.467,126.037,1374.94,411.737,,216.666,90.01,157.707,,288.449,97.271,158.86,199.134,172.578,200.91,197.874,110.688,45.85,270.052
2001-10-21 15:00:00,171.322,51.73,213.4,127.053,1382.04,410.85,105.808,213.268,90.612,156.483,,290.124,99.726,159.8,200.09,176.66,198.178,198.982,112.694,46.192,269.674
2001-10-21 15:05:00,169.974,50.187,214.433,126.03,1367.96,414.357,,213.54,88.872,156.967,,293.94,98.83,161.42,198.724,174.696,199.002,199.016,111.192,46.646,269.0
2001-10-21 15:10:00,172.856,52.507,215.5,126.157,1365.66,409.733,,212.81,90.672,157.483,,291.168,99.527,161.04,200.42,171.324,199.954,197.874,111.548,46.094,268.906
2001-10-21 15:15:00,172.206,51.217,213.867,126.907,1370.68,410.813,105.614,212.514,89.694,158.757,,290.955,99.154,157.08,198.062,173.904,197.916,198.326,110.216,46.622,269.012
2001-10-21 15:20:00,172.554,51.087,212.6,125.927,1380.8,412.863,,214.094,90.664,157.473,,291.191,100.016,161.24,196.654,172.022,199.354,195.652,111.392,46.604,269.724
2001-10-21 15:25:00,170.58,52.16,212.8,126.513,1376.14,411.306,,210.72,91.266,158.563,,288.432,99.794,157.94,194.878,174.186,200.18,199.694,111.374,46.344,269.684
2001-10-21 15:30:00,169.462,53.077,216.233,127.94,1370.1,410.973,104.224,210.67,89.512,159.477,,289.701,100.197,157.08,197.146,173.208,201.034,200.298,110.908,46.038,268.67
2001-10-21 15:35:00,172.04,52.833,212.5,127.13,1373.86,414.257,,216.394,88.894,159.96,,287.651,98.571,158.8,197.164,172.268,198.398,199.25,112.13,45.942,266.496
2001-10-21 15:40:00,168.684,52.247,212.033,126.91,1377.6,409.627,,213.02,89.78,157.583,,288.827,100.249,158.6,196.726,173.396,197.246,195.836,111.546,45.42,269.57
2001-10-21 15:45:00,171.938,53.75,213.433,126.08,1377.88,408.33,105.071,210.242,91.224,160.873,,287.617,98.916,159.28,196.972,175.708,196.744,198.792,109.364,46.45,269.562
2001-10-21 15:50:00,172.214,51.747,213.433,127.6,1375.62,408.79,,213.892,89.728,156.957,,286.381,97.594,158.86,195.212,171.668,199.89,199.84,109.562,46.21,270.386
2001-10-21 15:55:00,170.908,52.18,213.4,126.117,1371.12,411.3,,213.458,91.176,159.05,,293.288,98.403,160.48,194.956,173.458,198.588,198.807,109.632,46.202,268.512
2001-10-21 16:00:00,171.95,53.05,213.133,125.713,1371.14,409.937,106.312,213.166,90.546,158.957,,293.444,100.364,158.6,196.526,174.688,198.894,197.974,110.708,45.662,268.302
2001-10-21 16:05:00,171.998,51.483,212.4,128.297,1367.94,408.62,,211.2,90.442,157.983,,293.578,98.37,158.8,195.256,170.004,199.796,198.458,110.666,46.456,267.436
2001-10-21 16:10:00,172.342,52.077,215.367,126.76,1375.12,410.587,,211.716,90.674,157.91,,295.274,98.931,158.24,195.366,169.8,199.36,200.228,110.984,45.89,269.004
2001-10-21 16:15:00,170.974,52.55,212.5,125.953,1372.74,407.697,104.891,211.246,88.428,156.283,,295.293,97.771,160.56,195.562,171.84,195.976,201.158,111.108,47.182,269.438
2001-10-21 16:20:00,172.152,52.56,215.967,127.157,1372.6,409.817,,212.104,89.724,158.04,228.448,295.764,97.772,157.6,195.89,170.674,198.576,197.756,110.93,46.462,270.728
2001-10-21 16:25:00,172.7,52.45,212.233,126.683,1375.68,407.203,,210.448,90.058,158.743,,298.455,98.794,158.68,195.998,171.562,196.018,199.06,110.844,45.892,267.608
2001-10-21 16:30:00,171.46,52.637,214.667,128.297,1376.86,411.76,104.573,214.798,90.64,159.147,,296.101,98.742,159.42,195.414,170.712,198.102,199.016,111.76,46.634,269.846
2001-10-21 16:35:00,171.648,53.227,212.833,126.72,1371.72,413.16,,212.238,90.444,159.747,,297.263,99.922,159.0,196.502,171.582,199.524,200.894,112.958,45.728,269.332
