DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL
2006-12-14 12:20:00,178.626,55.483,221.333,151.617,1383.82,446.16,,96.334,170.36,317.206,108.085,172.66,209.096,189.628,211.064,208.292,120.054
2006-12-14 12:25:00,180.488,55.877,220.067,153.107,1380.9,447.49,,96.166,168.507,318.315,108.397,173.2,211.328,186.744,211.924,209.14,120.63
2006-12-14 12:30:00,178.398,56.447,218.167,150.713,1390.16,445.42,111.513,98.17,167.91,321.408,107.737,176.74,209.936,187.026,211.834,207.316,119.752
2006-12-14 12:35:00,177.966,55.16,220.067,151.54,1385.96,442.654,,96.19,169.087,317.93,106.839,173.04,209.244,188.864,212.126,209.326,120.532
2006-12-14 12:40:00,178.338,56.29,220.3,153.417,1392.2,442.83,,97.98,167.173,320.33,108.615,174.26,210.804,186.832,212.92,207.718,120.31
2006-12-14 12:45:00,178.548,57.093,221.533,152.297,1393.64,442.687,109.915,98.89,170.377,319.887,106.655,172.2,209.508,187.956,211.776,209.402,120.902
2006-12-14 12:50:00,178.46,56.247,222.0,151.477,1386.12,445.583,,97.632,169.936,318.038,107.688,170.86,210.502,190.11,211.066,208.232,120.408
2006-12-14 12:55:00,178.034,55.8,220.4,152.133,1393.14,447.037,,96.554,168.467,321.335,106.842,174.7,210.382,188.786,213.786,208.246,121.122
2006-12-14 13:00:00,178.032,55.32,223.433,155.307,1396.16,449.383,110.912,96.332,170.27,320.385,106.926,173.06,209.376,186.822,212.434,211.06,119.718
2006-12-14 13:05:00,177.896,55.967,221.933,153.937,1391.02,443.363,,96.862,169.247,320.014,107.123,173.78,210.136,188.142,208.884,209.67,120.692
2006-12-14 13:10:00,180.888,56.077,222.633,153.173,1392.64,446.127,,97.394,167.867,316.373,106.907,172.1,211.846,188.578,211.782,208.972,120.888
2006-12-14 13:15:00,176.768,55.953,221.967,151.883,1393.52,442.137,109.643,96.85,170.057,317.824,108.1,174.44,210.358,187.566,210.796,210.398,120.802
2006-12-14 13:20:00,178.756,54.707,223.9,151.347,1392.26,447.903,,97.1,168.837,319.384,107.312,172.72,208.848,188.166,209.448,206.986,122.23
2006-12-14 13:25:00,178.68,55.94,220.633,154.3,1394.06,441.677,,97.218,168.807,320.496,106.809,173.4,209.136,188.558,210.664,209.98,120.05
2006-12-14 13:30:00,176.554,55.003,221.9,151.567,1395.16,442.05,110.991,98.478,166.767,320.081,107.047,174.42,211.758,189.416,212.358,211.282,121.616
2006-12-14 13:35:00,179.854,56.377,221.333,150.09,1386.72,440.61,,97.094,168.857,319.957,107.404,172.66,208.798,190.124,210.518,211.184,119.93
