event_date,drop,intensity,dst,transformation,normalization,adjacency_method,global_efficiency,estrada_index,entropy,fractal,hurst_rs,modularity,assortativity,avg_katz,avg_closeness,avg_betweenness,avg_laplacian
2024-05-10,15.32,G5,-412.0,none,min_max,manhattan,0.2658703449019288,81.56424988971096,3.4018635662405083,1.236081610899343,0.5231016715967667,0.6814014706016319,-0.3292206456919597,0.1723798003831494,0.16697078271136406,0.17143206256109483,0.07357585697460034
2024-05-10,15.32,G5,-412.0,none,min_max,minkowski,0.2638399426751694,79.17305265312817,3.416329729344718,1.2915272583428843,0.43844191011718636,0.6673040896310225,-0.24878048780487805,0.17277219308187702,0.17270509995593247,0.1625122189638319,0.07269505557359718
2024-05-10,15.32,G5,-412.0,none,z_score,manhattan,0.2695317466624275,81.28772114515478,3.3023198214881413,1.2076841949861588,0.3926230966057216,0.6985680087641497,-0.42279708973322555,0.172440605307296,0.17554497629457308,0.1573802541544477,0.07051974860746917
2024-05-10,15.32,G5,-412.0,none,z_score,minkowski,0.26223471131141507,79.95409738116722,3.312590878881967,1.2095983532119607,0.4997538820186815,0.6843363093017198,-0.46097201767304863,0.17270749843531333,0.16934800865032903,0.16495601173020527,0.07035820674346853
2024-05-10,15.32,G5,-412.0,none,robust,manhattan,0.2701480863412672,80.4669339986433,3.294110028893068,1.315227822503071,0.44064547829797973,0.6828387319823104,-0.4426229508196721,0.1725830516335059,0.18034948277176188,0.1518817204301075,0.07097199249049645
2024-05-10,15.32,G5,-412.0,none,robust,minkowski,0.27785518879268783,80.75435474235064,3.2821029407105398,1.4108357264302664,0.43481034594442236,0.702426971270604,-0.40415704387990764,0.17249340150962977,0.19300777919803697,0.13978494623655913,0.07052726092890613
2024-05-10,15.32,G5,-412.0,none,decimal_scaling,manhattan,0.19547974054397843,73.95655841196167,2.4467967136251723,1.0448426037152678,0.3444749945078678,0.5282855872948332,-0.3333333333333333,0.1739805311298761,0.09424678662334088,0.32539100684261973,0.06714181397550356
2024-05-10,15.32,G5,-412.0,none,decimal_scaling,minkowski,0.20566326914954947,74.59534767659777,2.5295404674248028,0.9353987025653017,0.5032503990986653,0.5192747399292399,-0.4910394265232975,0.17384235848352256,0.10638622051553173,0.28543499511241444,0.06743135470975102
2024-05-10,15.32,G5,-412.0,none,none,manhattan,0.19625078719117783,73.95655841213411,1.635558988728901,0.8854609269455389,0.4800936109890767,0.29957011287971724,-0.3333333333333333,0.1739805280224811,0.09602031285858692,0.3198924731182795,0.061063273753670454
2024-05-10,15.32,G5,-412.0,none,none,minkowski,0.2022612177888712,74.38249382558104,1.7122718599356972,0.8425554060239427,0.6022485200232806,0.3037630327154133,-0.45454545454545453,0.17388773444561142,0.10195809750309749,0.29863147605083085,0.0611111121334397
2024-05-10,15.32,G5,-412.0,log,min_max,manhattan,0.2689529648963134,81.57410144678215,3.405905852579491,1.207024251886661,0.5727099881163012,0.6830565377815587,-0.32264034546576187,0.17237025825806235,0.17335115598064876,0.16422287390029328,0.07365030992583721
2024-05-10,15.32,G5,-412.0,log,min_max,minkowski,0.2644178790485604,80.21132728790114,3.419165816327605,1.2392192494006418,0.589097818171514,0.6673976046664787,-0.2939787485242031,0.17259172719897697,0.1687397349905787,0.16801075268817203,0.07347140956665944
2024-05-10,15.32,G5,-412.0,log,z_score,manhattan,0.2715623128975392,82.38969367831167,3.307014464622033,1.2252468083003387,0.4030954417402734,0.703504578176581,-0.42659005349712703,0.17228346361197164,0.17687638235405556,0.1560361681329423,0.07103119974887373
2024-05-10,15.32,G5,-412.0,log,z_score,minkowski,0.26191598016882056,80.15321749483668,3.3181032782895716,1.197456011934451,0.5049414195511701,0.6884579331369982,-0.512846865364851,0.17270583003456375,0.16974231126096034,0.16458944281524926,0.07059621194895371
2024-05-10,15.32,G5,-412.0,log,robust,manhattan,0.2701480863412672,80.4669339986433,3.2956745802908385,1.315227822503071,0.4402969462558866,0.6822894782725901,-0.4426229508196721,0.1725830516335059,0.18034948277176188,0.1518817204301075,0.07100448748305874
2024-05-10,15.32,G5,-412.0,log,robust,minkowski,0.2809132996632988,81.70692816553121,3.2831653416537083,1.4123260018075112,0.41608281985300644,0.6982962340880692,-0.469432918395574,0.17234119345985877,0.19503051538908323,0.13795210166177907,0.07123121581640147
2024-05-10,15.32,G5,-412.0,log,decimal_scaling,manhattan,0.26623977085624767,83.1307365008578,3.413372598088635,1.2726058855042222,0.4523168939062174,0.678237176240669,-0.38876199177706716,0.17218885653675892,0.16533758184616276,0.1703323558162268,0.07449491346546455
2024-05-10,15.32,G5,-412.0,log,decimal_scaling,minkowski,0.2541528975394279,80.7449229427839,3.4088503872544464,1.3236613327291626,0.4576167942184946,0.6821957613721008,-0.34767025089605735,0.17259743251740767,0.15265633004834922,0.1864613880742913,0.0733527392012321
2024-05-10,15.32,G5,-412.0,log,none,manhattan,0.26623977085624767,83.1307365008578,3.4133725980886345,1.2726058855042222,0.45231689390621554,0.678237176240669,-0.38876199177706716,0.17218885653675892,0.16533758184616276,0.1703323558162268,0.07449491346546432
2024-05-10,15.32,G5,-412.0,log,none,minkowski,0.2541528975394279,80.7449229427839,3.4088503872544464,1.3236613327291626,0.45761679421849455,0.6821957613721008,-0.34767025089605735,0.17259743251740767,0.15265633004834922,0.1864613880742913,0.07335273920123198
2024-05-10,15.32,G5,-412.0,exponential,min_max,manhattan,0.27079628939588773,83.32030535385152,3.3974766387240933,1.21363695611079,0.5324759198213975,0.675045707654192,-0.32574762946754193,0.17207740280963474,0.1697188592107629,0.1682551319648094,0.07399065239653856
