event_date,drop,intensity,dst,transformation,normalization,adjacency_method,global_efficiency,estrada_index,entropy,fractal,hurst_rs,modularity,assortativity,avg_katz,avg_closeness,avg_betweenness,avg_laplacian,avg_katz_low,avg_katz_medium,avg_katz_high,avg_closeness_low,avg_closeness_medium,avg_closeness_high,avg_betweenness_low,avg_betweenness_medium,avg_betweenness_high,avg_laplacian_low,avg_laplacian_medium,avg_laplacian_high
2023-04-23,6.57,G2,-213.0,none,min_max,manhattan,0.257164928555302,80.61082398740162,3.4576495967858314,1.1075840671879957,0.5077498563838105,0.6800270658867352,-0.3623853211009175,0.17048681607243318,0.18058635217568017,0.1498440285204991,0.07045320535137477,0.10775761834797698,0.04415515473754995,0.018574042986906243,0.12255847843084695,0.04132616591665957,0.01670170782817366,0.1310717468805704,0.0169897504456328,0.0017825311942959003,0.048133112970522036,0.017673383549856057,0.004646708830996656
2023-04-23,6.57,G2,-213.0,none,min_max,minkowski,0.26203968343005696,82.32964554701948,3.4638023120423456,1.161202656189717,0.4328600719756238,0.6747196148690356,-0.38440024860161603,0.17015380041329656,0.17595200317686024,0.1531862745098039,0.07159619699035683,0.10689998546220007,0.04474042813988047,0.018513386811215976,0.12062648532675475,0.039125851738258874,0.016199666111846634,0.13469251336898394,0.01671122994652406,0.0017825311942959003,0.04853307472698444,0.018364162258855534,0.004698960004516853
2023-04-23,6.57,G2,-213.0,none,z_score,manhattan,0.26576138755283074,82.50955077136481,3.465218983236651,1.4448005311665202,0.456113256163573,0.6843296716646555,-0.6698216235893705,0.17019533684782487,0.1854349783221233,0.14393939393939395,0.07210115996117913,0.10579093578513915,0.04537337335855624,0.019031027704129483,0.12150353579966942,0.044348102159128544,0.019583340363325347,0.11241087344028522,0.02250445632798574,0.009024064171122994,0.04154521547472314,0.02299294829177046,0.0075629961946855374
2023-04-23,6.57,G2,-213.0,none,z_score,minkowski,0.27096326133759224,83.5649526675848,3.4391614507905124,1.258597775349086,0.5187986311666533,0.685080036898333,-0.5950300382304763,0.17000293922126503,0.19089324972863436,0.13881461675579324,0.07168809446643604,0.10515683649019948,0.04543737321083169,0.01940872952023386,0.1200365106418691,0.050867062835721864,0.019989676251043382,0.10210561497326204,0.024788324420677365,0.011920677361853833,0.04034801364069821,0.0212564962337834,0.010083584591954412
2023-04-23,6.57,G2,-213.0,none,robust,manhattan,0.29746838129191033,87.71433952272334,3.4527917155682633,1.5565091555709571,0.5246278723212312,0.7298239739529813,-0.7097039473684205,0.1693379340431941,0.22458002166609345,0.11235516934046347,0.07425353049601856,0.10517328959426464,0.04494638084737156,0.01921826360155791,0.141800688552679,0.05647958427906355,0.026299748834350906,0.0777072192513369,0.02952317290552585,0.005124777183600713,0.04620934514605653,0.021028270733024018,0.007015914616938006
2023-04-23,6.57,G2,-213.0,none,robust,minkowski,0.29169000933706757,84.93902312000446,3.372983402695109,1.7028604319313803,0.5325115753000672,0.715382534137231,-0.5165577832845237,0.16968209465906334,0.2218254652625661,0.1147504456327986,0.06989873384753198,0.10445178582163649,0.04533135457814342,0.01989895425928344,0.13533295476301466,0.05904327805055057,0.02744923244900091,0.07130124777183601,0.03503787878787879,0.008411319073083779,0.038356946061668895,0.01795262554448917,0.013589162241373917
2023-04-23,6.57,G2,-213.0,none,decimal_scaling,manhattan,0.18898242366335924,76.02328989067875,2.2674964439333025,0.7957877412636704,0.6023978048593145,0.34604568046161915,-0.03125000000000647,0.17144970220025121,0.0897539126149259,0.33333333333333337,0.06182786112014392,0.10551682278265456,0.04567991255036167,0.020252966867235024,0.05738297494969506,0.022247729746278165,0.010123207918952663,0.21713458110516937,0.07987967914438503,0.03631907308377896,0.03125181389344705,0.0033209927042025743,0.027255054522494295
2023-04-23,6.57,G2,-213.0,none,decimal_scaling,minkowski,0.19202204167171644,76.23614371447019,2.376154018000257,0.8252400775735345,0.6922325845487416,0.4839098930733434,-0.33333333333332876,0.17140564940645098,0.09311387498747031,0.32046568627450983,0.06208282810717584,0.10505899707147243,0.04563718442228645,0.020709467912692094,0.05931936834938181,0.023129733602840815,0.010664773035247686,0.20309714795008918,0.07987967914438503,0.03748885918003565,0.03135134301344887,0.0036910698656484452,0.02704041522807852
2023-04-23,6.57,G2,-213.0,none,none,manhattan,0.18898242366335918,76.02328989067873,1.6148754497764777,0.9046386798874372,0.49069980984271666,0.3272429241160847,-0.03125000000000647,0.17144970220025127,0.08975391261492588,0.3333333333333333,0.059655446857281115,0.10603484914324672,0.04511531571996951,0.020299537337035014,0.05771556367359717,0.021786773537092914,0.010251575404235798,0.2261586452762923,0.06873885918003564,0.03843582887700535,0.0005369657645618356,0.058908141087874635,0.00021034000484464223
2023-04-23,6.57,G2,-213.0,none,none,minkowski,0.19186322260450395,76.23614371447016,1.7059697532213804,0.9312384326976522,0.4148173186910439,0.35184808327103273,-0.33333333333332876,0.17140564940682687,0.09264626846690421,0.3218025846702317,0.0597152009172706,0.1055765388142752,0.04507311577671587,0.020755994815835826,0.0592975136548192,0.02261309269183876,0.010735662120246244,0.21334670231729053,0.06873885918003564,0.03971702317290553,0.0005957036181209673,0.05888317108480787,0.00023632621434175965
