event_date,drop,intensity,dst,transformation,normalization,adjacency_method,global_efficiency,estrada_index,entropy,fractal,hurst_rs,modularity,assortativity,avg_katz,avg_closeness,avg_betweenness,avg_laplacian,avg_katz_low,avg_katz_medium,avg_katz_high,avg_closeness_low,avg_closeness_medium,avg_closeness_high,avg_betweenness_low,avg_betweenness_medium,avg_betweenness_high,avg_laplacian_low,avg_laplacian_medium,avg_laplacian_high
2023-04-23,6.57,G2,-213.0,none,min_max,manhattan,0.24861930472725835,76.625214493416,3.451198802269167,1.0575090050276492,0.5277275907958833,0.6800353885725514,-0.3684210526315789,0.1733641853136061,0.16999794552390746,0.16532258064516128,0.07245997243545058,0.1062892602557653,0.04549157391387775,0.021583351143963078,0.11109516926488987,0.04089142304901842,0.018011353209999154,0.12176197458455522,0.029753176930596283,0.013807429130009775,0.04382994192396062,0.01642762720538498,0.012202403306104967
2023-04-23,6.57,G2,-213.0,none,min_max,minkowski,0.2481812694880868,76.43136023595247,3.450318517518985,1.1027950703774863,0.6062331042810349,0.6735379514406479,-0.19741935483870968,0.1733787194840098,0.1676982354170063,0.16837732160312807,0.07217403637655054,0.1056368154783962,0.04710580693098934,0.020636097074624205,0.10422124337452687,0.04377279354057579,0.019704198501903667,0.12390029325513197,0.03409090909090909,0.010386119257086998,0.04251840938283156,0.021021946533763738,0.008633680459955245
2023-04-23,6.57,G2,-213.0,none,z_score,manhattan,0.2780167748917745,80.2609330438849,3.4359909466603815,1.5950053789921157,0.5731518981522412,0.6965447615963283,-0.6477987421383647,0.17268085128782937,0.20294834958180205,0.13220918866080159,0.07435362503545104,0.10548457847109481,0.04686046369075533,0.020335809125979227,0.12876906798703514,0.051503512795183254,0.022675768799583634,0.09781280547409581,0.02333822091886608,0.011058162267839688,0.04004644643265768,0.024654240592858468,0.00965293800993488
2023-04-23,6.57,G2,-213.0,none,z_score,minkowski,0.2846057299182295,81.43515180973442,3.4357036265138805,1.635260281860294,0.49381184664051847,0.7107527374112343,-0.6944178628389155,0.17247425083871862,0.2088622964210183,0.12732160312805474,0.07504671912401083,0.10529746257099952,0.047373290303953784,0.019803497963765335,0.13238293972399956,0.054043758089603836,0.022435598607414887,0.09402492668621701,0.023765884652981427,0.009530791788856305,0.04005100888788897,0.026388014636667356,0.008607695599454493
2023-04-23,6.57,G2,-213.0,none,robust,manhattan,0.29504719817219754,83.42117464058079,3.422154234563414,1.7591960843574699,0.5656062537749924,0.6855053616757256,-0.559748427672956,0.17209711737520664,0.21819437329689895,0.12011241446725318,0.07598235990611851,0.10630663618390304,0.04585538728299707,0.01993509390830652,0.14107006078910603,0.05471843555646142,0.0224058769513315,0.0895039100684262,0.020772238514173997,0.009836265884652981,0.04651514819457353,0.021614221342028787,0.00785299036951618
2023-04-23,6.57,G2,-213.0,none,robust,minkowski,0.29992033429533366,81.1420139108797,3.418257228674552,1.7948163478207309,0.5736186629006378,0.7033742464067573,-0.4949069195644538,0.1723791821664611,0.2346938332694778,0.1100928641251222,0.0740675707078337,0.10614850865350521,0.046143693140957565,0.020086980371998304,0.1494041283378656,0.0604367739165696,0.024852931015042583,0.07948435972629521,0.020772238514173997,0.009836265884652981,0.04174003505314507,0.023526387739616256,0.008801147915072353
2023-04-23,6.57,G2,-213.0,none,decimal_scaling,manhattan,0.19304988910872167,73.74370458834265,2.252212257200114,0.828329526953149,0.6114206674123737,0.48059370311703276,-0.03225806451612903,0.17402663462620352,0.09239336076411131,0.3333333333333333,0.06368282595091893,0.10506086511294511,0.04778117303782203,0.02118459647543636,0.057841930025989856,0.02382438829266262,0.010727042445458844,0.21169354838709678,0.0841275659824047,0.03751221896383186,0.03181542422781139,0.0034846830551924913,0.028382718667915034
2023-04-23,6.57,G2,-213.0,none,decimal_scaling,minkowski,0.19304988910872167,73.74370458834265,2.3450651634659034,0.828329526953149,0.6430466175974663,0.49611106098939173,-0.03225806451612903,0.17402663462620352,0.09239336076411131,0.3333333333333333,0.06395687414214662,0.10506086511294511,0.04778117303782203,0.02118459647543636,0.057841930025989856,0.02382438829266262,0.010727042445458844,0.21169354838709678,0.0841275659824047,0.03751221896383186,0.0319430651293822,0.0038878505673811646,0.028125958445383258
2023-04-23,6.57,G2,-213.0,none,none,manhattan,0.19304988910872162,73.74370458834264,1.603816370595951,0.8238375527977148,0.4899198086205552,0.4247909899351974,-0.03225806451612903,0.1740266346262035,0.09239336076411131,0.3333333333333333,0.06149202461347179,0.10560272051471185,0.04719060494468412,0.021233309166807553,0.058275892837793004,0.023264079272260076,0.010853388654058242,0.22177419354838707,0.0720307917888563,0.03952834799608993,0.0005070303795833922,0.06067148020899819,0.0003135140248902067
2023-04-23,6.57,G2,-213.0,none,none,minkowski,0.19304988910872162,73.74370458834264,1.6772888743870351,0.8238375527977148,0.5079032431212651,0.43638475059183274,-0.03225806451612903,0.1740266346262035,0.09239336076411131,0.3333333333333333,0.06153607003543437,0.10560272051471185,0.04719060494468412,0.021233309166807553,0.058275892837793004,0.023264079272260076,0.010853388654058242,0.22177419354838707,0.0720307917888563,0.03952834799608993,0.0005433520607916716,0.060669937883162724,0.00032278009147998585
