DATETIME,TSMB,ATHN,MXCO,NANM,PTFM,CALM,ROME,AATB,HRMS,JUNG,JUNG1,LMKS,IRK2,IRK3,IRKT,DRBS,MCRL,NEWK,MGDN,YKTK,KERG,OULU,APTY,TXBY,FSMT,INVK,JBGO,NAIN,PWNK,THUL,MWSN,NEU3,SOPB,SOPO,DOMB,DOMC,TERA
2017-09-07 19:30:00,332.36,56.589,229.367,488.986,59.861,72.64,127.247,1426.66,122.959,163.368,381.453,475.756,373.616,431.0,184.6,112.367,53.025,98.12,184.974,226.747,230.863,107.429,176.747,103.733,221.64,200.712,276.436,220.548,220.522,126.592,236.548,0.947,153.614,312.75,5.506,20.845,119.115
2017-09-07 19:35:00,333.829,56.33,229.133,495.086,59.445,72.477,124.66,1434.76,123.59,162.248,383.031,477.478,376.27,428.8,183.2,110.817,54.627,97.67,185.43,228.88,231.109,107.651,176.54,103.947,220.76,198.7,275.88,217.022,223.588,125.48,234.862,0.99,151.912,309.666,5.17,20.588,120.932
2017-09-07 19:40:00,331.208,55.303,229.367,501.579,57.668,73.067,124.847,1435.42,123.506,163.099,379.102,476.561,377.67,428.4,184.8,111.463,52.565,98.752,186.456,228.027,229.308,108.856,177.976,106.027,219.556,197.724,274.578,216.196,218.922,125.87,235.11,0.846,153.108,311.112,5.629,20.373,118.239
2017-09-07 19:45:00,331.607,56.592,227.333,491.425,58.661,73.757,127.303,1429.66,123.223,162.372,380.39,476.288,373.97,428.8,183.8,113.63,53.273,97.546,184.852,226.16,230.755,108.039,176.531,104.96,222.838,199.226,272.01,217.65,222.256,123.43,236.0,0.968,152.64,311.876,5.443,21.199,120.766
2017-09-07 19:50:00,330.233,57.758,226.967,493.839,58.303,72.29,126.477,1431.2,123.491,164.134,379.507,477.991,374.336,428.6,183.0,109.997,52.565,99.458,182.54,228.133,232.003,109.845,176.927,105.6,219.704,197.743,274.624,218.352,223.99,127.482,236.729,0.797,151.952,315.164,5.431,19.928,119.656
2017-09-07 19:55:00,331.765,56.999,228.533,496.371,58.61,72.477,126.27,1438.76,122.696,163.201,378.978,480.312,377.4,425.6,182.8,113.023,52.93,99.132,183.842,227.547,230.58,108.374,176.6,104.213,221.862,200.19,278.522,220.078,221.06,125.23,236.307,0.94,151.828,309.396,5.226,21.222,118.286
2017-09-07 20:00:00,336.992,56.468,227.9,493.43,58.654,71.727,126.597,1431.9,124.423,163.916,381.371,474.968,373.952,430.6,183.4,111.23,54.4,98.47,185.124,231.12,231.302,109.232,177.859,106.24,222.276,198.577,275.534,218.094,220.918,125.962,236.118,0.998,152.702,311.096,5.563,20.939,120.082
2017-09-07 20:05:00,331.899,58.009,229.9,497.894,57.14,70.707,125.99,1429.14,122.722,162.694,385.614,476.468,374.846,426.8,184.4,115.553,55.01,98.976,183.96,229.467,228.73,107.115,177.91,104.934,221.86,199.664,276.946,216.31,223.454,125.664,235.603,0.885,151.268,307.994,5.552,21.161,117.814
2017-09-07 20:10:00,335.394,55.324,229.167,495.84,59.278,72.497,127.227,1429.2,122.615,163.545,380.866,480.29,380.18,427.8,182.8,111.537,52.475,98.054,186.662,228.267,231.145,111.183,178.064,104.107,222.488,199.854,273.206,218.486,225.382,124.382,236.626,0.957,151.646,308.872,5.179,20.699,118.712
2017-09-07 20:15:00,330.778,57.179,228.125,497.739,58.807,70.397,126.187,1430.98,123.276,163.754,383.657,477.437,376.354,430.4,181.6,113.137,52.933,98.794,182.912,230.24,231.677,108.149,176.897,103.787,220.994,195.78,275.338,217.912,223.31,128.982,232.407,0.919,152.662,311.284,5.381,21.06,120.153
2017-09-07 20:20:00,333.097,56.17,229.11881833333354,495.098,58.691,71.36,126.643,1433.74,123.258,164.135,383.592,478.316,376.42,430.4,185.4,112.08,54.415,98.982,186.466,225.547,232.058,108.582,178.085,102.587,221.614,196.118,275.642,217.546,221.064,126.744,235.828,0.916,151.474,309.78,5.476,20.166,120.413
2017-09-07 20:25:00,334.949,55.979,228.95335666666648,497.643,58.009,73.057,124.89,1425.26,123.162,162.423,388.602,475.663,376.284,428.0,185.6,110.987,53.813,96.89,185.142,229.52,230.98,108.647,177.746,104.64,221.004,196.774,275.074,216.764,224.314,129.532,234.934,0.922,151.368,310.572,5.511,21.113,120.224
2017-09-07 20:30:00,334.769,56.516,228.94107166666655,495.462,56.942,71.973,126.923,1434.4,123.763,162.525,383.109,476.047,376.96,430.4,182.0,112.023,52.725,99.344,182.778,225.68,229.41,110.742,178.931,104.133,222.49,197.68,276.258,217.65,221.692,129.048,233.567,1.017,151.324,307.272,5.481,20.77,119.634
2017-09-07 20:35:00,332.838,56.687,228.82402958333333,492.553,58.059,74.813,126.467,1431.12,123.002,163.852,380.658,476.629,376.134,427.0,183.2,113.077,54.06,99.412,186.848,226.773,230.274,110.538,177.966,103.867,222.318,197.254,275.42,217.422,220.282,126.644,235.971,1.031,150.822,311.06,5.611,20.551,119.563
2017-09-07 20:40:00,330.745,57.91,229.3958645833335,490.647,57.282,71.877,125.927,1429.22,123.255,164.439,384.407,478.316,375.12,431.2,184.4,110.74,54.75,98.572,183.772,228.56,232.516,109.307,177.956,102.987,222.298,197.648,275.094,217.666,221.87,126.488,237.285,0.857,152.53,307.144,5.174,20.367,119.704
2017-09-07 20:45:00,331.897,56.676,228.29627958333342,502.472,58.18,72.013,127.357,1436.34,124.273,164.805,381.448,475.252,379.616,430.8,184.2,111.453,53.04,99.19,184.962,229.547,231.824,107.668,178.914,103.6,220.678,198.568,277.788,218.23,220.436,125.662,236.407,0.979,152.004,310.998,5.408,19.92,119.847
2017-09-07 20:50:00,329.622,57.297,228.43868375,495.566,57.314,72.537,130.167,1430.92,123.403,162.675,381.823,478.291,378.754,427.8,185.0,110.934,53.75,98.716,187.78,229.707,233.727,109.425,176.771,104.027,220.942,197.786,272.56,217.318,224.57,129.704,236.495,0.942,151.822,310.028,5.29,21.172,119.681
2017-09-07 20:55:00,334.159,56.679,228.97689750000006,489.653,58.135,71.787,126.363,1427.6,123.065,162.9,383.634,476.983,377.174,428.0,185.6,113.247,54.397,98.71,185.432,227.6,229.254,109.73,178.766,104.053,222.428,197.632,275.66,218.238,222.91,125.564,234.559,0.907,150.986,311.57,5.331,20.993,120.273
2017-09-07 21:00:00,335.132,57.019,229.29495833333343,495.881,59.762,73.107,126.74,1433.68,123.241,162.991,384.374,474.54,375.532,430.8,182.8,112.947,53.8,100.106,186.022,226.587,228.666,109.821,176.523,101.947,221.072,197.714,276.704,217.048,219.944,128.342,235.268,0.869,151.718,313.514,5.215,20.743,119.232
2017-09-07 21:05:00,333.411,56.667,229.20831541666666,494.727,58.9,73.95,127.357,1430.56,123.945,164.253,380.032,479.166,376.41,431.6,182.8,110.937,53.283,99.9,183.764,226.907,231.448,107.936,178.565,103.36,221.708,195.656,268.462,216.822,221.206,121.666,234.481,0.878,150.072,308.138,5.378,20.516,120.273
2017-09-07 21:10:00,333.007,56.56,228.88688,500.294,59.33,73.32,125.617,1442.54,126.108,163.605,383.23,474.838,378.85,426.8,182.8,112.123,54.375,98.506,185.67,226.107,228.888,110.03,177.054,103.52,220.656,198.392,277.91,216.884,219.834,126.852,236.497,1.019,150.018,307.65,5.444,19.824,121.408
2017-09-07 21:15:00,334.879,57.105,229.04981916666648,494.98,57.694,70.8,126.437,1438.32,122.411,163.182,383.616,476.003,376.648,430.4,183.2,111.787,52.8,99.73,182.234,228.16,232.371,107.881,176.112,103.44,220.014,196.49,276.648,218.82,223.966,126.526,234.469,0.924,151.198,308.072,5.382,20.214,120.32
2017-09-07 21:20:00,329.54,57.82,228.43110708333353,495.869,58.87,73.717,126.203,1437.58,123.794,163.143,381.564,475.313,375.336,428.2,184.2,110.317,53.075,100.52,183.468,226.027,229.276,108.239,176.919,102.56,222.536,195.354,274.788,216.84,218.904,125.992,235.981,1.045,149.436,307.414,5.342,20.116,120.296
2017-09-07 21:25:00,332.39,56.637,229.62496416666673,497.886,58.395,74.077,127.063,1442.24,124.755,164.56,384.852,475.774,377.122,432.6,184.6,110.313,52.767,99.352,184.29,226.373,229.516,110.601,176.932,103.6,219.894,196.796,272.572,216.442,223.382,127.158,235.433,0.944,150.284,304.2,5.483,20.405,120.131
2017-09-07 21:30:00,333.182,56.463,229.04526249999978,489.732,57.906,72.463,127.293,1441.98,123.625,163.127,381.454,479.601,374.782,427.4,183.4,112.05,55.345,99.11,183.078,227.387,228.972,108.818,176.694,102.693,221.212,199.744,276.172,217.9,221.766,126.998,236.031,1.02,148.802,305.186,5.257,20.289,118.615
2017-09-07 21:35:00,334.204,57.736,229.13419000000013,494.458,58.1,71.31,126.573,1437.04,123.952,163.512,380.891,476.527,378.254,427.8,181.8,112.127,53.473,99.876,183.13,226.4,230.107,109.456,176.869,103.28,219.778,195.62,278.116,216.836,219.398,125.91,233.901,0.887,148.634,303.586,5.296,20.661,120.107
2017-09-07 21:40:00,331.062,56.484,228.39603999999977,498.819,58.29,72.427,124.68,1432.2,122.663,164.727,381.337,475.75,377.026,430.6,184.0,112.493,53.06,100.916,181.844,224.48,229.561,109.906,176.951,103.706,221.23,197.592,274.344,215.206,223.572,125.12,234.49,1.092,150.212,306.408,5.309,20.556,119.255
2017-09-07 21:45:00,330.863,57.117,229.9959912500001,499.842,59.54,72.667,125.553,1443.18,123.677,164.195,383.949,478.065,374.834,429.2,183.6,111.54,53.967,100.386,184.148,226.827,231.279,108.575,175.653,103.254,220.22,197.216,276.088,216.14,222.544,126.258,233.171,0.949,149.562,308.47,5.444,20.214,118.329
2017-09-07 21:50:00,334.305,56.522,229.12286208333353,496.555,59.056,73.007,127.153,1440.92,123.12,164.701,383.841,477.565,378.42,430.0,183.2,113.167,52.75,100.084,185.432,226.133,228.021,109.16,177.163,105.013,220.686,199.942,272.644,218.478,220.392,126.244,234.333,1.033,149.346,307.898,5.281,19.972,120.725
2017-09-07 21:55:00,333.728,56.748,229.56202833333344,494.391,58.677,71.047,127.313,1434.46,123.538,163.858,383.899,477.159,375.818,432.6,182.4,111.284,53.477,98.16,184.172,227.893,229.443,107.157,177.219,103.413,220.242,196.71,272.774,217.166,218.93,126.244,232.662,1.07,151.542,307.784,5.457,21.088,118.78
2017-09-07 22:00:00,334.57,56.272,229.54687833333327,492.044,58.34,71.513,126.543,1437.52,124.525,163.752,386.393,477.812,376.31,426.4,184.6,109.277,52.71,101.23,182.606,229.12,230.371,109.004,177.859,104.72,220.834,197.488,276.97,217.65,220.956,125.754,234.407,1.015,149.696,306.304,5.404,19.616,119.063
2017-09-07 22:05:00,333.234,58.556,229.55972625000007,498.316,58.723,72.24,127.707,1436.66,122.535,164.833,384.322,476.177,373.744,424.6,184.6,113.74,53.54,98.696,184.302,224.774,228.157,108.536,177.367,103.573,220.212,196.656,269.116,217.138,224.32,125.238,233.579,1.008,150.496,307.02,5.305,20.412,118.779
2017-09-07 22:10:00,332.075,55.941,228.9295249999998,500.438,58.318,72.853,126.943,1440.08,124.477,163.279,381.412,477.952,376.79,425.6,184.6,111.687,54.115,98.546,184.428,226.427,229.421,107.037,178.934,103.547,220.304,196.202,274.73,217.462,221.626,127.132,232.869,0.994,151.918,305.682,5.29,20.021,118.491
