DATETIME,ESOI,ATHN,MXCO,NANM,CALM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK2,IRK3,IRKT,MCRL,MOSC,NEWK,KIEL,KIEL2,MGDN,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,MRNY,TERA
2012-07-14 14:40:00,96.225,57.397,225.067,487.998,70.511,153.803,1420.76,104.818,158.134,367.626,456.825,459.06,409.2,206.6,50.724,259.944,93.786,166.753,176.59,173.842,208.64,216.763,103.379,173.536,123.4,95.84,211.312,186.232,209.042,205.508,117.224,142.024,291.966,109.524,113.68
2012-07-14 14:45:00,94.27,58.773,225.067,489.442,70.164,152.867,1401.94,105.84,159.946,372.805,457.325,460.534,411.0,207.4,50.712,258.084,95.3,165.407,175.096,174.766,209.92,216.437,103.964,171.292,122.6,94.853,210.148,185.954,209.198,210.62,120.068,142.306,290.936,109.318,113.613
2012-07-14 14:50:00,96.6,58.897,225.867,489.464,71.798,150.507,1412.4,106.68,159.027,367.646,452.484,458.426,410.2,204.8,51.7,261.068,95.404,165.097,173.966,172.934,208.666,220.232,103.097,170.458,121.6,95.253,211.298,187.952,209.69,208.038,119.788,142.998,293.594,108.024,113.905
2012-07-14 14:55:00,95.06,58.16,221.9,497.519,70.827,151.05,1410.2,105.312,157.871,372.96,454.165,461.98,410.6,209.0,51.73,260.71,95.806,168.883,178.176,171.514,208.587,216.598,105.149,171.162,123.8,96.187,209.728,188.53,210.436,208.676,118.828,141.83,293.876,110.308,113.034
2012-07-14 15:00:00,94.91,58.04,224.867,489.023,72.5,151.317,1412.6,106.864,157.369,367.518,454.899,453.892,412.6,206.4,52.43,258.91,94.138,164.377,173.806,172.108,208.454,215.371,103.549,171.044,124.6,95.627,210.176,185.034,209.35,209.99,118.816,144.242,293.866,108.448,113.8
2012-07-14 15:05:00,95.705,58.737,223.9,495.128,71.545,152.43,1407.7,106.92,157.183,365.348,448.414,460.394,409.8,208.6,51.086,258.02,94.66,166.44,175.102,173.664,210.053,217.365,104.839,171.408,123.0,95.973,210.908,186.632,211.208,208.238,120.214,143.396,295.592,109.424,114.199
2012-07-14 15:10:00,96.34,58.253,225.767,481.745,70.59,152.193,1408.14,106.274,157.522,368.511,452.969,457.594,410.2,208.4,51.89,262.58,94.612,165.29,175.346,171.618,209.147,217.697,104.789,170.602,120.0,95.707,211.398,187.184,210.222,209.368,119.098,142.792,295.406,110.114,114.891
2012-07-14 15:15:00,97.035,58.843,225.2,483.373,71.144,150.827,1413.82,104.952,158.177,367.65,453.778,457.262,409.8,207.4,51.36,258.16,94.752,166.99,176.274,174.066,209.093,219.679,105.197,171.654,123.4,95.787,210.238,186.432,212.124,211.998,118.682,144.364,294.126,110.162,114.899
2012-07-14 15:20:00,96.31,57.807,224.333,486.868,71.548,151.23,1404.64,105.39,158.223,367.259,449.446,457.834,410.6,205.6,51.602,262.202,94.64,168.1,175.82,172.268,207.893,216.987,104.342,170.76,123.2,97.973,211.582,185.272,210.6,208.298,118.414,142.84,295.31,109.908,112.391
2012-07-14 15:25:00,94.527,57.65,224.967,482.009,70.993,151.573,1402.2,106.384,156.744,368.11,453.534,458.688,412.2,209.4,51.776,261.07,94.914,168.89,178.318,174.398,207.573,218.132,103.717,170.734,122.2,96.133,211.532,186.386,208.782,211.214,119.546,143.526,295.51,109.534,111.519
2012-07-14 15:30:00,93.91,57.3,224.467,480.711,72.91,152.497,1403.64,105.526,157.189,369.245,449.395,459.388,413.0,204.4,52.252,243.23,96.334,171.993,180.544,172.006,209.253,218.598,104.429,170.816,124.4,95.36,210.67,184.772,209.22,209.852,118.214,143.584,294.306,108.504,112.85
2012-07-14 15:35:00,94.483,57.65,226.5,486.968,71.36,154.523,1412.72,105.598,157.424,367.753,450.301,459.658,409.8,205.4,50.702,242.482,95.288,167.357,177.438,172.562,209.04,217.615,104.743,173.004,122.2,95.973,211.168,187.566,210.13,207.506,118.198,142.31,292.782,110.07,113.702
