event_date,drop,intensity,dst,normalization,adjacency_method,global_efficiency,estrada_index,entropy,fractal,hurst_rs,modularity,assortativity,avg_katz,avg_closeness,avg_betweenness,avg_laplacian
2024-05-10,15.32,G5,-412.0,min_max,manhattan,0.28844913706982683,74.54337974151808,3.3420488631728498,1.121107589010891,0.5821637777211319,0.6630139688328126,-0.315740740740741,0.18064713821183906,0.190629203811684,0.16198686371100163,0.08231304438863529
2024-05-10,15.32,G5,-412.0,z_score,manhattan,0.28688792688792664,72.49574479609305,3.335653484611229,1.150440280390965,0.21508814168640628,0.6744456796787173,-0.34691943127962116,0.18106944463108973,0.1998335086323521,0.14917898193760262,0.0806925795002779
2024-05-10,15.32,G5,-412.0,robust,manhattan,0.2962636214360351,73.30943954589672,3.318639958408972,1.4893251635968776,0.3034222314810574,0.6775865135112067,-0.3305754042873266,0.18086260533331786,0.2131992061314775,0.13809523809523808,0.08111361466427937
2024-05-10,15.32,G5,-412.0,decimal_scaling,manhattan,0.28181442440063137,74.66670828138965,3.3287619709319034,1.111292510264182,0.3155053153787262,0.664145121872124,-0.3905489923558026,0.18069775474639344,0.18040970953205201,0.17093596059113295,0.08201655523551081
2024-05-10,15.32,G5,-412.0,none,manhattan,0.28181442440063137,74.66670828138965,3.3287619709319025,1.111292510264182,0.3155053153787232,0.6641451218721239,-0.3905489923558026,0.18069775474639344,0.18040970953205201,0.17093596059113295,0.08201655523551082
2024-05-10,15.32,G5,-412.0,min_max,minkowski,0.2847619813137052,72.87080684041146,3.3415856497076004,1.1744360742916473,0.5184783475318819,0.6699692824712623,-0.29597069597069625,0.18098339096681407,0.19279091901534579,0.158128078817734,0.08132145958127841
2024-05-10,15.32,G5,-412.0,z_score,minkowski,0.27128883887504557,72.45353483721885,3.333866978166684,1.1697546270661363,0.4802794990798521,0.6626660496803596,-0.42206654991243453,0.18115126913352814,0.1695124098196015,0.18095238095238092,0.08114085086255647
2024-05-10,15.32,G5,-412.0,robust,minkowski,0.285665522217246,72.02283282519453,3.3171850398908127,1.489160602916837,0.18359672778457653,0.6706616567999446,-0.2899505766062606,0.18115456645352657,0.19838166245317607,0.1497536945812808,0.08034333291053429
2024-05-10,15.32,G5,-412.0,decimal_scaling,minkowski,0.2770504910160083,72.032017361501,3.32593154806741,1.2680074541720447,0.490540301377152,0.6777958626071128,-0.33717579250720514,0.1811996303338509,0.18292166656474412,0.16732348111658457,0.08043727829526229
2024-05-10,15.32,G5,-412.0,none,minkowski,0.2770504910160083,72.032017361501,3.3259315480674094,1.2680074541720447,0.49054030137715066,0.6777958626071129,-0.33717579250720514,0.1811996303338509,0.18292166656474412,0.16732348111658457,0.08043727829526241
2024-03-24,11.47,G4,-130.0,min_max,manhattan,0.2678860267569936,72.63285375906861,3.3582855161502985,1.354944877448613,0.5088952037506336,0.6761010190706263,-0.22448979591836676,0.17864925130161513,0.1879604953069561,0.15773081201334815,0.07717322936314253
2024-03-24,11.47,G4,-130.0,z_score,manhattan,0.2786000498903716,74.43480694511214,3.358643205843187,1.1010248297221024,0.5598061105677239,0.6634175775907631,-0.476274165202109,0.17832475883098078,0.19810198315179636,0.14809047089358546,0.07918168919632089
2024-03-24,11.47,G4,-130.0,robust,manhattan,0.2690336187110372,73.34105504837822,3.365103798534116,1.315386765789113,0.4779454566690737,0.6684638286645627,-0.26916002452483107,0.1785027597679592,0.18326715553090805,0.16158694846125324,0.07777266526852072
2024-03-24,11.47,G4,-130.0,decimal_scaling,manhattan,0.29565206597464533,74.32160134663111,3.348863889057887,1.363413261123721,0.3812947725108544,0.6713257647362925,-0.2638230647709323,0.17820314431630382,0.22770543834748624,0.12421208750463479,0.0781163724480711
2024-03-24,11.47,G4,-130.0,none,manhattan,0.29565206597464533,74.32160134663111,3.3488638890578883,1.363413261123721,0.38129477251085286,0.6713257647362924,-0.2638230647709323,0.17820314431630382,0.22770543834748624,0.12421208750463479,0.07811637244807104
2024-03-24,11.47,G4,-130.0,min_max,minkowski,0.2645165050003752,72.22676232734456,3.361664774240559,1.287624953292502,0.27110692630968664,0.6571542602755789,-0.04838709677419371,0.17870290490054297,0.17889621082385873,0.16766777901371893,0.07694938253254645
2024-03-24,11.47,G4,-130.0,z_score,minkowski,0.28612362547846326,74.09819075059681,3.3547327424087103,1.3270347247735705,0.5593570264737784,0.6619887007588174,-0.2639593908629441,0.1782852819337539,0.2106213428630589,0.1378568780126066,0.0789478408564408
2024-03-24,11.47,G4,-130.0,robust,minkowski,0.2735621069492029,73.06732439006124,3.344540664256607,1.374602110715889,0.5113249284077979,0.6860036577378784,-0.2818590704647676,0.17854357251737676,0.19200124289967474,0.15342973674453095,0.07671687599649037
2024-03-24,11.47,G4,-130.0,decimal_scaling,minkowski,0.2685962961769402,74.78395294195153,3.346868077155417,1.2515453926941695,0.5381965615413074,0.6728680542565699,-0.43179619477587866,0.17830182783092105,0.17880265801412318,0.16618464961067853,0.07907478025681645
2024-03-24,11.47,G4,-130.0,none,minkowski,0.2685962961769402,74.78395294195153,3.3468680771554173,1.2515453926941695,0.5381965615413072,0.67286805425657,-0.43179619477587866,0.17830182783092105,0.17880265801412318,0.16618464961067853,0.07907478025681654
2023-04-23,6.57,G2,-213.0,min_max,manhattan,0.2604699751006561,78.11837522283473,3.424217474630392,1.1791921902660913,0.5371372170619135,0.6773854103302355,-0.34104046242774566,0.1730621927753741,0.18268069385252295,0.15273704789833825,0.07237731169790218
