,event_date,drop,intensity,dst,normalization,adjacency_method,data_label,global_efficiency,entropy,fractal,hurst_rs,modularity,assortativity
0,2023-04-23,6.57,G4,-213.0,min_max,manhattan,normal,0.25458610728497,0.019856437166475633,1.736628473558403,0.40662661791776117,0.6797015262774849,-0.3459516298633018
1,2023-04-23,6.57,G4,-213.0,z_score,manhattan,normal,0.2780167748917745,1.106026555241999,1.7332655339258531,0.4961573782010017,0.6964783239467649,-0.6477987421383647
2,2023-04-23,6.57,G4,-213.0,robust,manhattan,normal,0.29504719817219754,0.5931155598531145,1.735895161437237,0.5925228744958091,0.6854741684087883,-0.559748427672956
3,2023-04-23,6.57,G4,-213.0,decimal_scaling,manhattan,normal,0.2982218013468008,-1.4426943194232382e-06,1.7369582809936444,0.5826939008639016,0.6913082147006373,-0.4282793867120954
4,2023-04-23,6.57,G4,-213.0,none,manhattan,normal,0.2982218013468008,0.005324014689548195,1.7369582809936444,0.5826939008639016,0.6913082147006372,-0.4282793867120954
5,2023-04-23,6.57,G4,-213.0,min_max,minkowski,normal,0.2481812694880868,0.019856437166475633,1.736628473558403,0.4586149263902728,0.6740357659119238,-0.19741935483870968
6,2023-04-23,6.57,G4,-213.0,z_score,minkowski,normal,0.2846057299182295,1.106026555241999,1.7332655339258531,0.5441480566307307,0.710759365896607,-0.6944178628389155
7,2023-04-23,6.57,G4,-213.0,robust,minkowski,normal,0.29992033429533366,0.5931155598531145,1.735895161437237,0.646932550718323,0.703606372977049,-0.4949069195644538
8,2023-04-23,6.57,G4,-213.0,decimal_scaling,minkowski,normal,0.291384078884079,-1.4426943194232382e-06,1.7369582809936444,0.520231990004384,0.6841292436456017,-0.4956949569495695
9,2023-04-23,6.57,G4,-213.0,none,minkowski,normal,0.291384078884079,0.005324014689548195,1.7369582809936444,0.520231990004384,0.6841292436456018,-0.4956949569495695
10,2024-03-24,11.47,G4,-130.0,min_max,manhattan,normal,0.26338953554862543,0.012509653443632028,1.7703786145061506,0.3731569114462031,0.6750206398136674,-0.4912621359223301
11,2024-03-24,11.47,G4,-130.0,z_score,manhattan,normal,0.2737419934863111,0.9790407479807962,1.76848206216402,0.4665404745380797,0.6949217539647013,-0.5965016895249453
12,2024-03-24,11.47,G4,-130.0,robust,manhattan,normal,0.2896153089334901,0.6717692188411466,1.7717946582315838,0.46052416846684685,0.6616576264761684,-0.508786969567081
13,2024-03-24,11.47,G4,-130.0,decimal_scaling,manhattan,normal,0.2814226545760624,-1.4426943194232382e-06,1.771475039523837,0.4674613970731112,0.6753647211615138,-0.21953837895866882
14,2024-03-24,11.47,G4,-130.0,none,manhattan,normal,0.2814226545760624,0.001824811378435825,1.771475039523837,0.4674613970731112,0.6753647211615138,-0.21953837895866882
15,2024-03-24,11.47,G4,-130.0,min_max,minkowski,normal,0.26271083714265414,0.012509653443632028,1.7703786145061506,0.5459146369925122,0.6778090914533982,-0.4015748031496063
16,2024-03-24,11.47,G4,-130.0,z_score,minkowski,normal,0.3002946811185442,0.9790407479807962,1.76848206216402,0.22508539981950704,0.6747907672273551,-0.3300411522633745
17,2024-03-24,11.47,G4,-130.0,robust,minkowski,normal,0.26621011826977686,0.6717692188411466,1.7717946582315838,0.6097270652703481,0.6994590589868842,-0.4215945866431303
18,2024-03-24,11.47,G4,-130.0,decimal_scaling,minkowski,normal,0.27334391723596124,-1.4426943194232382e-06,1.771475039523837,0.5562095418485514,0.6927317949567818,-0.3621480026195154
19,2024-03-24,11.47,G4,-130.0,none,minkowski,normal,0.27334391723596124,0.001824811378435825,1.771475039523837,0.5562095418485514,0.6927317949567819,-0.3621480026195154
20,2024-05-10,15.32,G5,-412.0,min_max,manhattan,normal,0.25614479308027666,0.01994846409210071,1.6946276532387656,0.8586719074438063,0.648672162833604,-0.3429054054054051
21,2024-05-10,15.32,G5,-412.0,z_score,manhattan,normal,0.30467485919098736,1.0116644617513941,1.6865484217452906,0.6806173041647559,0.6720530917114839,-0.5322812051649936
22,2024-05-10,15.32,G5,-412.0,robust,manhattan,normal,0.2702780015683235,0.34267298079971736,1.7299865446050635,0.7700211452614049,0.6899793815588842,-0.556948798328109
23,2024-05-10,15.32,G5,-412.0,decimal_scaling,manhattan,normal,0.2542776757292883,-1.4426943194232382e-06,1.7688971421770792,0.7287180587595412,0.6701658137061853,-0.3006597549481628
24,2024-05-10,15.32,G5,-412.0,none,manhattan,normal,0.2542776757292883,0.25692890892578074,1.7688971421770792,0.7287180587595412,0.6701658137061854,-0.3006597549481628
25,2024-05-10,15.32,G5,-412.0,min_max,minkowski,normal,0.2527643652643646,0.01994846409210071,1.6946276532387656,0.6564312256660452,0.6578134734268912,-0.2315789473684214
26,2024-05-10,15.32,G5,-412.0,z_score,minkowski,normal,0.3040051048115558,1.0116644617513941,1.6865484217452906,0.6744255850323873,0.6719204026319038,-0.5510384445426426
27,2024-05-10,15.32,G5,-412.0,robust,minkowski,normal,0.27226697436374814,0.34267298079971736,1.7299865446050635,0.7505512682307796,0.6910990931911191,-0.47023451593505716
28,2024-05-10,15.32,G5,-412.0,decimal_scaling,minkowski,normal,0.261689666367085,-1.4426943194232382e-06,1.7688971421770792,0.5970124061327942,0.6802934611037382,-0.4228295819935692
29,2024-05-10,15.32,G5,-412.0,none,minkowski,normal,0.261689666367085,0.25692890892578074,1.7688971421770792,0.5970124061327942,0.6802934611037383,-0.4228295819935692
30,2002-04-17,6.56,,,min_max,manhattan,normal,0.3984544695071008,0.024176214198625222,1.6581903787747263,0.5040720385948282,0.5255727747794109,-0.41732283464566927
